Filename	Species name	TaxId
Aptenodytes_forsteri	Aptenodytes forsteri	9233
Columba_livia	Columba livia	8932
Crocodylus_porosus	Crocodylus porosus	8502
Gallus_gallus	Gallus gallus	9031
Grus_americana	Grus americana	9117
Homo_sapiens	Homo sapiens	9606
Oreotrochilus_melanogaster	Oreotrochilus melanogaster	689266
Phoenicopterus_ruber	Phoenicopterus ruber	9217
Struthio_camelus	Struthio camelus	8801
Taeniopygia_guttata	Taeniopygia guttata	59729
